countyfips,periods,final_consumer_spending,average_consumer_spending,sd_consumer_spending,positive_consumer_spending,negative_consumer_spending,max_increase_consumer_spending,max_decrease_consumer_spending
8015,231,0.184,0.12840567965367966,0.16821354006624636,181,50,0.642,-0.351
8021,231,0.358,0.18552099567099567,0.14466019316752346,209,22,0.509,-0.332
8023,231,0.433,0.3739049783549784,0.19256807804643927,222,9,0.736,-0.374
8029,231,-0.0571,0.015737233766233767,0.1175225392209729,145,86,0.307,-0.337
8031,231,0.156,0.0439273341991342,0.10151413171171185,177,54,0.203,-0.372
8035,231,0.129,0.08413098701298702,0.0984872306116925,203,28,0.235,-0.366
8037,231,0.0146,0.028417320346320347,0.13038014287163274,154,77,0.323,-0.456
8039,231,0.187,0.16536431601731602,0.1317298639437333,208,23,0.469,-0.322
8041,231,0.119,0.03606446632034632,0.09491928319832883,173,58,0.208,-0.358
8043,231,0.0351,0.05776632034632034,0.11786480380305105,175,56,0.347,-0.391
8045,231,0.0573,0.032750290043290047,0.0964106102637718,168,63,0.25,-0.372
8047,231,0.285,0.19370800865800866,0.2151352460509635,190,41,0.736,-0.381
8049,231,0.035,0.03467848484848485,0.14929958137874416,148,83,0.376,-0.493
8051,231,0.532,0.1619608658008658,0.1734407762023738,195,36,0.729,-0.342
8059,231,0.135,0.06698930735930736,0.09951835570886622,187,44,0.217,-0.342
8067,231,0.0266,0.025217445887445886,0.12332644960840057,151,80,0.288,-0.371
8069,231,0.0633,0.03591336363636364,0.10000769700881189,174,57,0.212,-0.347
8075,231,0.162,0.1601169696969697,0.1584723856081638,190,41,0.645,-0.281
8077,231,0.15,0.0885660606060606,0.11817000162468866,186,45,0.261,-0.364
8081,231,0.185,0.31659056277056274,0.20852204495726626,214,17,0.736,-0.344
8083,231,-0.142,-0.06853935064935066,0.10994880453711958,62,169,0.294,-0.484
8085,231,0.357,0.14954090909090909,0.13130015008947166,193,38,0.565,-0.335
8087,231,-0.0227,0.107653329004329,0.13622504078786873,187,44,0.404,-0.358
8091,231,-0.145,0.10579519480519481,0.25303281211153344,147,84,0.736,-0.539
8093,231,0.0265,0.006091731601731602,0.12494674946996524,118,113,0.36,-0.279
8097,231,-0.051,0.025441294372294372,0.1527261868979051,137,94,0.378,-0.484
8101,231,0.104,0.08323666666666667,0.10349339136501366,189,42,0.276,-0.307
8105,231,0.304,0.21524666666666667,0.13226710771461062,209,22,0.479,-0.246
8107,231,0.492,0.1483232857142857,0.16469106723606108,187,44,0.539,-0.383
