Model,Accuracy,Precision,Recall,F1_Score,AUC
Boosted Tree,0.9403225806451613,0.9606741573033708,0.9697542533081286,0.9651928504233301,0.9767236544174163
Random Forest,0.9354838709677419,0.9453551912568307,0.9810964083175804,0.9628942486085343,0.9718004113089179
Decision Tree,0.9209677419354839,0.9379562043795621,0.9716446124763705,0.9545032497678738,0.9334635119134174
Log Regression,0.9258064516129032,0.9514018691588786,0.9621928166351607,0.9567669172932332,0.9437670080392198
SVM (Linear),0.9403225806451613,0.9522058823529412,0.9792060491493384,0.9655172413793104,0.95419514323106
SVM (Radial),0.853225806451613,0.853225806451613,1,0.9208006962576153,0.2803028729304721
